"Daily Precipitation",,,
,,,
Date,Value,"Time Period","Climate Model"
1985/12/01,0.009,1986-2005,CanESM2
1985/12/02,1.399,1986-2005,CanESM2
1985/12/03,8.998,1986-2005,CanESM2
1985/12/04,9.853,1986-2005,CanESM2
1985/12/05,0.747,1986-2005,CanESM2
1985/12/06,0.023,1986-2005,CanESM2
1985/12/07,8.631,1986-2005,CanESM2
1985/12/08,1.625,1986-2005,CanESM2
1985/12/09,1.861,1986-2005,CanESM2
1985/12/10,0.001,1986-2005,CanESM2
1985/12/11,37.791,1986-2005,CanESM2
1985/12/12,7.006,1986-2005,CanESM2
1985/12/13,0.178,1986-2005,CanESM2
1985/12/14,0.003,1986-2005,CanESM2
1985/12/15,0.135,1986-2005,CanESM2
1985/12/16,34.553,1986-2005,CanESM2
1985/12/17,17.906,1986-2005,CanESM2
1985/12/18,0.633,1986-2005,CanESM2
1985/12/19,0.002,1986-2005,CanESM2
1985/12/20,0.015,1986-2005,CanESM2
1985/12/21,0,1986-2005,CanESM2
1985/12/22,0,1986-2005,CanESM2
1985/12/23,131.546,1986-2005,CanESM2
1985/12/24,0.607,1986-2005,CanESM2
1985/12/25,0,1986-2005,CanESM2
1985/12/26,0,1986-2005,CanESM2
1985/12/27,0.006,1986-2005,CanESM2
1985/12/28,20.762,1986-2005,CanESM2
1985/12/29,0.249,1986-2005,CanESM2
1985/12/30,0.282,1986-2005,CanESM2
1985/12/31,0.212,1986-2005,CanESM2
1986/01/01,0.762,1986-2005,CanESM2
1986/01/02,31.274,1986-2005,CanESM2
1986/01/03,0.406,1986-2005,CanESM2
1986/01/04,1.389,1986-2005,CanESM2
1986/01/05,0.531,1986-2005,CanESM2
1986/01/06,0.299,1986-2005,CanESM2
1986/01/07,0.726,1986-2005,CanESM2
1986/01/08,0.038,1986-2005,CanESM2
1986/01/09,0,1986-2005,CanESM2
1986/01/10,0.855,1986-2005,CanESM2
1986/01/11,0.722,1986-2005,CanESM2
1986/01/12,1.045,1986-2005,CanESM2
1986/01/13,0.41,1986-2005,CanESM2
1986/01/14,0.672,1986-2005,CanESM2
1986/01/15,0.489,1986-2005,CanESM2
1986/01/16,0.916,1986-2005,CanESM2
1986/01/17,9.158,1986-2005,CanESM2
1986/01/18,0.004,1986-2005,CanESM2
1986/01/19,0.013,1986-2005,CanESM2
1986/01/20,7.452,1986-2005,CanESM2
1986/01/21,0.404,1986-2005,CanESM2
1986/01/22,0,1986-2005,CanESM2
1986/01/23,7.062,1986-2005,CanESM2
1986/01/24,0.133,1986-2005,CanESM2
1986/01/25,0.863,1986-2005,CanESM2
1986/01/26,11.178,1986-2005,CanESM2
1986/01/27,0,1986-2005,CanESM2
1986/01/28,0,1986-2005,CanESM2
1986/01/29,0.018,1986-2005,CanESM2
1986/01/30,0.451,1986-2005,CanESM2
1986/01/31,2.571,1986-2005,CanESM2
1986/02/01,0.129,1986-2005,CanESM2
1986/02/02,0.901,1986-2005,CanESM2
1986/02/03,4.63,1986-2005,CanESM2
1986/02/04,0.34,1986-2005,CanESM2
1986/02/05,0,1986-2005,CanESM2
1986/02/06,1.695,1986-2005,CanESM2
1986/02/07,0,1986-2005,CanESM2
1986/02/08,2.42,1986-2005,CanESM2
1986/02/09,0.559,1986-2005,CanESM2
1986/02/10,1.906,1986-2005,CanESM2
1986/02/11,0,1986-2005,CanESM2
1986/02/12,0.002,1986-2005,CanESM2
1986/02/13,0,1986-2005,CanESM2
1986/02/14,0.142,1986-2005,CanESM2
1986/02/15,0.271,1986-2005,CanESM2
1986/02/16,0.461,1986-2005,CanESM2
1986/02/17,0.144,1986-2005,CanESM2
1986/02/18,0.25,1986-2005,CanESM2
1986/02/19,0.328,1986-2005,CanESM2
1986/02/20,0.021,1986-2005,CanESM2
1986/02/21,2.979,1986-2005,CanESM2
1986/02/22,5.697,1986-2005,CanESM2
1986/02/23,0.945,1986-2005,CanESM2
1986/02/24,5.515,1986-2005,CanESM2
1986/02/25,0.094,1986-2005,CanESM2
1986/02/26,1.308,1986-2005,CanESM2
1986/02/27,0.419,1986-2005,CanESM2
1986/02/28,3.152,1986-2005,CanESM2
1986/03/01,0.339,1986-2005,CanESM2
1986/03/02,0.056,1986-2005,CanESM2
1986/03/03,5.294,1986-2005,CanESM2
1986/03/04,4.288,1986-2005,CanESM2
1986/03/05,1.165,1986-2005,CanESM2
1986/03/06,11.871,1986-2005,CanESM2
1986/03/07,8.535,1986-2005,CanESM2
1986/03/08,23.05,1986-2005,CanESM2
1986/03/09,0.573,1986-2005,CanESM2
1986/03/10,1.723,1986-2005,CanESM2
1986/03/11,0.108,1986-2005,CanESM2
1986/03/12,2.319,1986-2005,CanESM2
1986/03/13,0.811,1986-2005,CanESM2
1986/03/14,0.088,1986-2005,CanESM2
