"Daily Mean Air Temperature ",,,
,,,
Date,Value,"Time Period","Climate Model"
1985/12/01,5.59,1986-2005,CanESM2
1985/12/02,12.27,1986-2005,CanESM2
1985/12/03,13.29,1986-2005,CanESM2
1985/12/04,14.7,1986-2005,CanESM2
1985/12/05,4.21,1986-2005,CanESM2
1985/12/06,4.19,1986-2005,CanESM2
1985/12/07,7.42,1986-2005,CanESM2
1985/12/08,2.01,1986-2005,CanESM2
1985/12/09,0.98,1986-2005,CanESM2
1985/12/10,-1.85,1986-2005,CanESM2
1985/12/11,1.25,1986-2005,CanESM2
1985/12/12,0.54,1986-2005,CanESM2
1985/12/13,0.64,1986-2005,CanESM2
1985/12/14,2.62,1986-2005,CanESM2
1985/12/15,3.75,1986-2005,CanESM2
1985/12/16,7.83,1986-2005,CanESM2
1985/12/17,5.8,1986-2005,CanESM2
1985/12/18,-2.39,1986-2005,CanESM2
1985/12/19,-1.52,1986-2005,CanESM2
1985/12/20,-0.12,1986-2005,CanESM2
1985/12/21,0.32,1986-2005,CanESM2
1985/12/22,0.72,1986-2005,CanESM2
1985/12/23,8.18,1986-2005,CanESM2
1985/12/24,4.13,1986-2005,CanESM2
1985/12/25,0.38,1986-2005,CanESM2
1985/12/26,0.94,1986-2005,CanESM2
1985/12/27,3.47,1986-2005,CanESM2
1985/12/28,6.92,1986-2005,CanESM2
1985/12/29,2.81,1986-2005,CanESM2
1985/12/30,-0.99,1986-2005,CanESM2
1985/12/31,0.02,1986-2005,CanESM2
1986/01/01,-1.63,1986-2005,CanESM2
1986/01/02,4.04,1986-2005,CanESM2
1986/01/03,-2.5,1986-2005,CanESM2
1986/01/04,-3.71,1986-2005,CanESM2
1986/01/05,-6.45,1986-2005,CanESM2
1986/01/06,-7.56,1986-2005,CanESM2
1986/01/07,-8.94,1986-2005,CanESM2
1986/01/08,-8.83,1986-2005,CanESM2
1986/01/09,-6.72,1986-2005,CanESM2
1986/01/10,-5.33,1986-2005,CanESM2
1986/01/11,-6.95,1986-2005,CanESM2
1986/01/12,-6.95,1986-2005,CanESM2
1986/01/13,-5.86,1986-2005,CanESM2
1986/01/14,-6.24,1986-2005,CanESM2
1986/01/15,-3.76,1986-2005,CanESM2
1986/01/16,-1.29,1986-2005,CanESM2
1986/01/17,-10.18,1986-2005,CanESM2
1986/01/18,-13.15,1986-2005,CanESM2
1986/01/19,-12.6,1986-2005,CanESM2
1986/01/20,-5.84,1986-2005,CanESM2
1986/01/21,-0.36,1986-2005,CanESM2
1986/01/22,-2.09,1986-2005,CanESM2
1986/01/23,-4.11,1986-2005,CanESM2
1986/01/24,-11.21,1986-2005,CanESM2
1986/01/25,-10.05,1986-2005,CanESM2
1986/01/26,-11.41,1986-2005,CanESM2
1986/01/27,-17.35,1986-2005,CanESM2
1986/01/28,-12.63,1986-2005,CanESM2
1986/01/29,-10.01,1986-2005,CanESM2
1986/01/30,-8.93,1986-2005,CanESM2
1986/01/31,-5.91,1986-2005,CanESM2
1986/02/01,-0.84,1986-2005,CanESM2
1986/02/02,2.12,1986-2005,CanESM2
1986/02/03,-5.53,1986-2005,CanESM2
1986/02/04,4.32,1986-2005,CanESM2
1986/02/05,6.9,1986-2005,CanESM2
1986/02/06,2.18,1986-2005,CanESM2
1986/02/07,-0.46,1986-2005,CanESM2
1986/02/08,0.09,1986-2005,CanESM2
1986/02/09,-9.6,1986-2005,CanESM2
1986/02/10,1.09,1986-2005,CanESM2
1986/02/11,5.67,1986-2005,CanESM2
1986/02/12,4.56,1986-2005,CanESM2
1986/02/13,8.09,1986-2005,CanESM2
1986/02/14,7.86,1986-2005,CanESM2
1986/02/15,3.27,1986-2005,CanESM2
1986/02/16,6.78,1986-2005,CanESM2
1986/02/17,8.38,1986-2005,CanESM2
1986/02/18,3.94,1986-2005,CanESM2
1986/02/19,2.08,1986-2005,CanESM2
1986/02/20,-0.2,1986-2005,CanESM2
1986/02/21,1.34,1986-2005,CanESM2
1986/02/22,4.51,1986-2005,CanESM2
1986/02/23,4.11,1986-2005,CanESM2
1986/02/24,0.59,1986-2005,CanESM2
1986/02/25,2.51,1986-2005,CanESM2
1986/02/26,6.58,1986-2005,CanESM2
1986/02/27,8.22,1986-2005,CanESM2
1986/02/28,11.22,1986-2005,CanESM2
1986/03/01,12.81,1986-2005,CanESM2
1986/03/02,10.53,1986-2005,CanESM2
1986/03/03,-0.02,1986-2005,CanESM2
1986/03/04,0.39,1986-2005,CanESM2
1986/03/05,11.33,1986-2005,CanESM2
1986/03/06,5.55,1986-2005,CanESM2
1986/03/07,2.69,1986-2005,CanESM2
1986/03/08,10.59,1986-2005,CanESM2
1986/03/09,7.49,1986-2005,CanESM2
1986/03/10,1.79,1986-2005,CanESM2
1986/03/11,3.29,1986-2005,CanESM2
1986/03/12,6.71,1986-2005,CanESM2
1986/03/13,6.93,1986-2005,CanESM2
1986/03/14,7.52,1986-2005,CanESM2
1986/03/15,9.24,1986-2005,CanESM2
1986/03/16,7.04,1986-2005,CanESM2
1986/03/17,14.76,1986-2005,CanESM2
1986/03/18,16.48,1986-2005,CanESM2
1986/03/19,15.91,1986-2005,CanESM2
1986/03/20,5.57,1986-2005,CanESM2
1986/03/21,4.33,1986-2005,CanESM2
1986/03/22,8.09,1986-2005,CanESM2
1986/03/23,11.74,1986-2005,CanESM2
1986/03/24,8.64,1986-2005,CanESM2
1986/03/25,5.58,1986-2005,CanESM2
1986/03/26,0.37,1986-2005,CanESM2
1986/03/27,0.66,1986-2005,CanESM2
1986/03/28,2.26,1986-2005,CanESM2
1986/03/29,8.48,1986-2005,CanESM2
1986/03/30,11.17,1986-2005,CanESM2
1986/03/31,4.65,1986-2005,CanESM2
1986/04/01,5.82,1986-2005,CanESM2
1986/04/02,8.79,1986-2005,CanESM2
1986/04/03,9.97,1986-2005,CanESM2
1986/04/04,12.68,1986-2005,CanESM2
1986/04/05,9,1986-2005,CanESM2
1986/04/06,4.74,1986-2005,CanESM2
1986/04/07,9.78,1986-2005,CanESM2
1986/04/08,4.63,1986-2005,CanESM2
1986/04/09,4.21,1986-2005,CanESM2
1986/04/10,6.36,1986-2005,CanESM2
1986/04/11,10.88,1986-2005,CanESM2
1986/04/12,16.61,1986-2005,CanESM2
1986/04/13,15.21,1986-2005,CanESM2
1986/04/14,9.24,1986-2005,CanESM2
1986/04/15,3.43,1986-2005,CanESM2
1986/04/16,3.82,1986-2005,CanESM2
1986/04/17,12.25,1986-2005,CanESM2
1986/04/18,17.22,1986-2005,CanESM2
1986/04/19,21.01,1986-2005,CanESM2
1986/04/20,20.95,1986-2005,CanESM2
1986/04/21,10.9,1986-2005,CanESM2
1986/04/22,8.93,1986-2005,CanESM2
1986/04/23,8.18,1986-2005,CanESM2
1986/04/24,16.37,1986-2005,CanESM2
1986/04/25,24.73,1986-2005,CanESM2
1986/04/26,21.63,1986-2005,CanESM2
1986/04/27,12.74,1986-2005,CanESM2
1986/04/28,17.61,1986-2005,CanESM2
1986/04/29,19.04,1986-2005,CanESM2
1986/04/30,16.84,1986-2005,CanESM2
1986/05/01,14.29,1986-2005,CanESM2
1986/05/02,12.87,1986-2005,CanESM2
1986/05/03,13.24,1986-2005,CanESM2
1986/05/04,17.56,1986-2005,CanESM2
1986/05/05,17.92,1986-2005,CanESM2
1986/05/06,17.79,1986-2005,CanESM2
1986/05/07,16.08,1986-2005,CanESM2
1986/05/08,16.18,1986-2005,CanESM2
1986/05/09,15.12,1986-2005,CanESM2
1986/05/10,11.46,1986-2005,CanESM2
1986/05/11,13.8,1986-2005,CanESM2
1986/05/12,20.6,1986-2005,CanESM2
1986/05/13,13.59,1986-2005,CanESM2
1986/05/14,16.31,1986-2005,CanESM2
1986/05/15,22.07,1986-2005,CanESM2
1986/05/16,22.6,1986-2005,CanESM2
1986/05/17,13.64,1986-2005,CanESM2
1986/05/18,11.61,1986-2005,CanESM2
1986/05/19,15.74,1986-2005,CanESM2
1986/05/20,20.27,1986-2005,CanESM2
1986/05/21,21.67,1986-2005,CanESM2
1986/05/22,13.65,1986-2005,CanESM2
1986/05/23,16.23,1986-2005,CanESM2
1986/05/24,24.08,1986-2005,CanESM2
1986/05/25,15.24,1986-2005,CanESM2
1986/05/26,16.09,1986-2005,CanESM2
1986/05/27,18.45,1986-2005,CanESM2
1986/05/28,24.18,1986-2005,CanESM2
1986/05/29,33.04,1986-2005,CanESM2
1986/05/30,22.81,1986-2005,CanESM2
1986/05/31,21.8,1986-2005,CanESM2
1986/06/01,24.83,1986-2005,CanESM2
1986/06/02,32.65,1986-2005,CanESM2
1986/06/03,35.56,1986-2005,CanESM2
1986/06/04,25.22,1986-2005,CanESM2
1986/06/05,19.41,1986-2005,CanESM2
1986/06/06,18.16,1986-2005,CanESM2
1986/06/07,22.56,1986-2005,CanESM2
1986/06/08,28.58,1986-2005,CanESM2
1986/06/09,30.32,1986-2005,CanESM2
1986/06/10,30.69,1986-2005,CanESM2
1986/06/11,31.05,1986-2005,CanESM2
1986/06/12,32.79,1986-2005,CanESM2
1986/06/13,36.4,1986-2005,CanESM2
1986/06/14,31.83,1986-2005,CanESM2
1986/06/15,25.2,1986-2005,CanESM2
1986/06/16,24.62,1986-2005,CanESM2
1986/06/17,22.93,1986-2005,CanESM2
1986/06/18,23.93,1986-2005,CanESM2
1986/06/19,26.71,1986-2005,CanESM2
1986/06/20,30.7,1986-2005,CanESM2
1986/06/21,26.13,1986-2005,CanESM2
1986/06/22,25.87,1986-2005,CanESM2
1986/06/23,35.62,1986-2005,CanESM2
1986/06/24,32.62,1986-2005,CanESM2
1986/06/25,29.54,1986-2005,CanESM2
1986/06/26,30.19,1986-2005,CanESM2
1986/06/27,36.95,1986-2005,CanESM2
1986/06/28,40.19,1986-2005,CanESM2
1986/06/29,38.91,1986-2005,CanESM2
1986/06/30,39.32,1986-2005,CanESM2
1986/07/01,39.41,1986-2005,CanESM2
1986/07/02,37.86,1986-2005,CanESM2
1986/07/03,38.22,1986-2005,CanESM2
1986/07/04,36.38,1986-2005,CanESM2
1986/07/05,33.5,1986-2005,CanESM2
1986/07/06,36.4,1986-2005,CanESM2
1986/07/07,33.6,1986-2005,CanESM2
1986/07/08,33.77,1986-2005,CanESM2
1986/07/09,34.07,1986-2005,CanESM2
1986/07/10,33.74,1986-2005,CanESM2
1986/07/11,35.58,1986-2005,CanESM2
1986/07/12,37.27,1986-2005,CanESM2
1986/07/13,38.29,1986-2005,CanESM2
1986/07/14,34.02,1986-2005,CanESM2
1986/07/15,37.14,1986-2005,CanESM2
1986/07/16,32.8,1986-2005,CanESM2
1986/07/17,26.44,1986-2005,CanESM2
1986/07/18,25.1,1986-2005,CanESM2
1986/07/19,26.03,1986-2005,CanESM2
1986/07/20,26.19,1986-2005,CanESM2
1986/07/21,25.47,1986-2005,CanESM2
1986/07/22,25.96,1986-2005,CanESM2
1986/07/23,28.88,1986-2005,CanESM2
1986/07/24,29.98,1986-2005,CanESM2
1986/07/25,29.46,1986-2005,CanESM2
1986/07/26,29.18,1986-2005,CanESM2
1986/07/27,26.73,1986-2005,CanESM2
1986/07/28,25.84,1986-2005,CanESM2
1986/07/29,33.68,1986-2005,CanESM2
1986/07/30,39.16,1986-2005,CanESM2
1986/07/31,39.57,1986-2005,CanESM2
1986/08/01,36.19,1986-2005,CanESM2
1986/08/02,40.78,1986-2005,CanESM2
1986/08/03,39.85,1986-2005,CanESM2
1986/08/04,35.24,1986-2005,CanESM2
1986/08/05,32.12,1986-2005,CanESM2
1986/08/06,39.54,1986-2005,CanESM2
1986/08/07,35.23,1986-2005,CanESM2
1986/08/08,27.96,1986-2005,CanESM2
1986/08/09,27.86,1986-2005,CanESM2
1986/08/10,36.14,1986-2005,CanESM2
1986/08/11,37.35,1986-2005,CanESM2
1986/08/12,34.48,1986-2005,CanESM2
1986/08/13,31.09,1986-2005,CanESM2
1986/08/14,37,1986-2005,CanESM2
1986/08/15,40.92,1986-2005,CanESM2
1986/08/16,33,1986-2005,CanESM2
1986/08/17,38.82,1986-2005,CanESM2
1986/08/18,41.88,1986-2005,CanESM2
